,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,Half Moon Bay,37.4636,-122.4286,18.89,67,1,2.57,US,1618685094
79,Ribeira Grande,38.5167,-28.7,18.0,94,20,6.17,PT,1618685094
80,Bandarbeyla,9.4942,50.8122,27.37,74,5,5.3,SO,1618685095
81,Tuatapere,-46.1333,167.6833,10.56,92,92,2.68,NZ,1618685095
82,Puerto Escondido,15.85,-97.0667,29.0,74,20,6.69,MX,1618685095
83,Kloulklubed,7.0419,134.2556,27.0,89,75,4.12,PW,1618685096
84,Pisco,-13.7,-76.2167,25.0,61,0,2.57,PE,1618685096
85,Kruisfontein,-34.0033,24.7314,17.22,67,81,0.45,ZA,1618685096
86,Torbay,47.6666,-52.7314,5.0,81,90,7.72,CA,1618685097
87,Geraldton,-28.7667,114.6,19.0,42,20,3.6,AU,1618685097
88,Yaizu,34.8667,138.3333,16.11,87,33,4.02,JP,1618685097
89,Sabha,27.0377,14.4283,32.92,8,100,3.07,LY,1618685097
90,Qaanaaq,77.484,-69.3632,-18.59,92,100,0.69,GL,1618685098
91,St. George's,12.0564,-61.7485,30.0,70,20,11.83,GD,1618685098
92,Airai,-8.9266,125.4092,14.42,86,82,1.14,TL,1618685098
93,Fortuna,40.5982,-124.1573,14.0,77,1,5.14,US,1618685099
94,Maceió,-9.6658,-35.7353,29.0,65,40,6.17,BR,1618685099
95,Nchelenge,-9.3451,28.734,20.57,84,20,2.86,ZM,1618685099
96,Kyren,51.6828,102.1408,0.2,83,100,3.09,RU,1618685100
97,Lüderitz,-26.6481,15.1594,25.53,38,24,0.92,NA,1618685100
98,Alofi,-19.0595,-169.9187,20.0,94,10,0.51,NU,1618685100
99,Nānākuli,21.3906,-158.1547,24.0,64,1,2.06,US,1618685101
100,San Patricio,28.017,-97.5169,15.56,88,90,7.72,US,1618685101
101,Port Alfred,-33.5906,26.891,18.88,68,11,7.66,ZA,1618685101
102,Safi,32.2994,-9.2372,18.34,77,1,7.91,MA,1618684956
103,Cidreira,-30.1811,-50.2056,23.02,78,100,4.89,BR,1618685102
104,Bethel,41.3712,-73.414,10.56,60,100,3.43,US,1618685102
105,Marabu,4.4148,114.0089,25.0,94,40,1.54,MY,1618685103
106,Barrow,71.2906,-156.7887,-5.0,80,1,6.17,US,1618684867
107,Khatanga,71.9667,102.5,-16.66,96,100,4.27,RU,1618685103
108,Tuktoyaktuk,69.4541,-133.0374,-7.0,86,40,4.12,CA,1618685103
109,Labuhan,-6.8844,112.2051,25.58,85,77,2.41,ID,1618685104
110,Bengkulu,-3.8004,102.2655,23.97,88,100,1.51,ID,1618685104
111,Chui,-33.6971,-53.4616,21.87,66,0,3.47,UY,1618685104
112,Thompson,55.7435,-97.8558,1.0,64,90,5.14,CA,1618685105
113,Hofn,64.2539,-15.2082,7.07,98,100,8.2,IS,1618685105
114,Zomba,-15.386,35.3188,16.07,95,99,2.4,MW,1618685105
115,Castro,-24.7911,-50.0119,19.06,85,99,2.23,BR,1618685106
116,Verkh-Usugli,52.7,115.1667,2.24,57,100,1.17,RU,1618685106
117,Madang,-5.2246,145.7966,23.97,92,100,1.59,PG,1618685106
118,Marsaxlokk,35.8419,14.5431,15.0,77,20,2.57,MT,1618685107
119,Tezu,27.9167,96.1667,20.19,74,76,1.33,IN,1618685107
120,Narsaq,60.9167,-46.05,-2.0,29,20,2.57,GL,1618685107
121,Pitimbu,-7.4706,-34.8086,27.0,94,75,3.6,BR,1618685108
122,Nikolskoye,59.7035,30.7861,10.0,29,0,5.0,RU,1618685108
123,Quatre Cocos,-20.2078,57.7625,25.56,88,75,3.09,MU,1618685108
124,Wairoa,-39.0333,177.3667,6.67,93,3,0.89,NZ,1618685109
125,Saint George,37.1041,-113.5841,17.78,31,1,2.57,US,1618684861
126,Chodavaram,17.8333,82.95,26.07,84,1,1.56,IN,1618685109
127,Karratha,-20.7377,116.8463,27.13,54,0,2.79,AU,1618685109
128,Irbit,57.6705,63.071,4.54,68,23,4.01,RU,1618685110
129,Upernavik,72.7868,-56.1549,-13.03,78,100,2.99,GL,1618685110
130,Constitución,-35.3333,-72.4167,16.91,72,75,2.77,CL,1618685110
131,Beyneu,45.3167,55.2,18.65,29,62,3.07,KZ,1618685111
132,Fort Saint James,54.4333,-124.25,9.09,86,100,0.9,CA,1618685111
133,East London,-33.0153,27.9116,18.0,77,0,5.14,ZA,1618685112
134,Clyde River,70.4692,-68.5914,-12.0,85,1,4.63,CA,1618685112
135,Arraial do Cabo,-22.9661,-42.0278,28.0,78,40,6.69,BR,1618685112
136,Bubaque,11.2833,-15.8333,25.31,73,100,7.56,GW,1618685113
137,Caravelas,-17.7125,-39.2481,26.72,67,52,3.6,BR,1618685113
138,Warrington,53.3925,-2.5802,14.0,51,0,2.06,GB,1618685113
139,Bambous Virieux,-20.3428,57.7575,25.56,88,75,3.09,MU,1618685114
140,Gonder,12.6,37.4667,20.92,38,99,2.61,ET,1618685114
141,Mehamn,71.0357,27.8492,1.67,90,16,4.84,NO,1618685114
142,Charter Township of Clinton,42.587,-82.9199,12.78,58,75,1.54,US,1618685054
143,Port Blair,11.6667,92.75,27.09,75,17,2.19,IN,1618685115
144,Fairbanks,64.8378,-147.7164,4.44,69,1,1.14,US,1618684879
145,Cowra,-33.8333,148.6833,5.56,82,32,0.9,AU,1618685115
146,Saint Paul Harbor,57.79,-152.4072,5.0,81,90,2.68,US,1618684876
147,Pevek,69.7008,170.3133,-8.45,94,94,3.1,RU,1618685115
148,Touros,-5.1989,-35.4608,28.0,74,40,4.12,BR,1618685116
149,Kumul,42.8,93.45,17.5,12,100,1.86,CN,1618685116
150,Hobart,-42.8794,147.3294,12.78,66,70,6.69,AU,1618684859
151,Vankleek Hill,45.5168,-74.6493,10.0,53,100,1.54,CA,1618685116
152,Bondo,3.8146,23.6866,23.24,81,100,1.28,CD,1618685117
153,Guiyang,26.5833,106.7167,12.0,94,90,2.0,CN,1618685117
154,General Pico,-35.6566,-63.7568,26.55,51,11,4.54,AR,1618685117
155,Bredasdorp,-34.5322,20.0403,12.0,94,0,1.03,ZA,1618685118
156,Hong Kong,22.2855,114.1577,23.33,74,100,8.0,HK,1618685054
157,Takoradze,4.8845,-1.7554,28.2,74,56,4.9,GH,1618685118
158,Kaeo,-35.1,173.7833,11.11,93,24,1.77,NZ,1618685118
159,Sisimiut,66.9395,-53.6735,-8.73,74,100,3.73,GL,1618685119
160,Topolobampo,25.6,-109.05,30.0,24,1,4.61,MX,1618685119
161,Katsuura,35.1333,140.3,16.11,74,100,5.36,JP,1618685119
162,Klaksvík,62.2266,-6.589,8.0,81,100,9.77,FO,1618685120
163,Saskylakh,71.9167,114.0833,-13.13,94,100,5.11,RU,1618685120
164,Tabou,4.423,-7.3528,26.74,79,100,2.66,CI,1618685120
165,Troitskoye,52.9821,84.6757,-1.36,90,28,1.31,RU,1618685121
166,Sobolevo,54.4299,31.8996,10.45,88,100,7.34,RU,1618685122
167,Rio Grande,-32.035,-52.0986,26.0,57,40,3.09,BR,1618685122
168,Ogaminana,7.5946,6.2248,26.67,77,98,3.29,NG,1618685123
169,Kozhva,65.1073,57.0459,-3.68,92,100,4.95,RU,1618685123
170,Jalu,29.0331,21.5482,35.22,7,19,4.82,LY,1618685123
171,Husavik,66.0449,-17.3389,6.0,70,90,5.14,IS,1618685124
172,Okny,47.5404,29.46,6.94,78,89,2.95,UA,1618685124
173,Kiryat Gat,31.61,34.7642,22.78,77,36,2.44,IL,1618685124
174,Saint-Pierre,-21.3393,55.4781,23.0,94,75,3.09,RE,1618685125
175,Shellbrook,53.2168,-106.4011,17.0,25,40,5.66,CA,1618685125
176,Faya,18.3851,42.4509,16.0,59,40,2.06,SA,1618685125
177,Labuan,5.2767,115.2417,24.0,94,20,2.8,MY,1618685125
178,Nouadhibou,20.931,-17.0347,22.0,64,0,9.26,MR,1618685126
179,Athmallik,20.7219,84.5348,27.74,58,1,2.5,IN,1618685126
180,Mayo,38.8876,-76.5119,13.89,50,90,3.09,US,1618685126
181,Khani,41.9563,42.9566,12.0,87,90,1.03,GE,1618685128
182,North Bend,43.4065,-124.2243,24.44,87,40,1.54,US,1618684967
183,Itaituba,-4.2761,-55.9836,33.0,55,40,4.12,BR,1618685128
184,Lompoc,34.6391,-120.4579,16.11,72,0,6.69,US,1618684872
185,Qinzhou,21.95,108.6167,20.77,92,100,2.24,CN,1618685129
186,Gizo Government Station,-8.103,156.8419,27.87,75,99,1.21,SB,1618685129
187,Dandong,40.1292,124.3947,4.48,74,0,2.64,CN,1618685129
188,Pangnirtung,66.1451,-65.7125,-14.0,72,20,2.06,CA,1618685027
189,Constantine,36.365,6.6147,8.0,76,40,4.12,DZ,1618685130
190,Carnarvon,-24.8667,113.6333,24.74,71,0,3.09,AU,1618685130
191,Belmopan,17.25,-88.7667,35.0,49,0,2.06,BZ,1618685130
192,George Town,5.4112,100.3354,27.0,83,40,1.54,MY,1618685063
193,Ancud,-41.8697,-73.8203,18.0,68,75,4.23,CL,1618685131
194,Alugan,12.2188,125.4808,25.05,94,100,13.14,PH,1618685131
195,Korla,41.7597,86.1469,17.13,27,95,0.78,CN,1618685132
196,Cocachacra,-17.0883,-71.7575,23.11,65,4,3.7,PE,1618685132
197,Bintulu,3.1667,113.0333,25.0,94,40,3.09,MY,1618685132
198,Bilma,18.6853,12.9164,33.33,6,100,3.83,NE,1618685133
199,Samarai,-10.6167,150.6667,27.78,79,72,5.66,PG,1618685133
200,Namtsy,62.7161,129.6658,-4.0,74,0,4.0,RU,1618685133
201,Ambon City,-3.6954,128.1814,25.0,94,40,3.6,ID,1618685048
202,Cosolapa,18.5833,-96.65,39.5,23,23,3.23,MX,1618685134
203,Lisala,2.15,21.5167,21.76,96,99,1.74,CD,1618685134
204,Mareeba,-17.0,145.4333,26.0,69,90,4.12,AU,1618685134
205,Provideniya,64.3833,-173.3,-2.28,97,100,2.62,RU,1618685135
206,Sitka,57.0531,-135.33,8.0,71,40,1.09,US,1618685135
207,General Roca,-39.0333,-67.5833,21.0,46,0,1.54,AR,1618685135
208,Safford,32.834,-109.7076,22.0,10,1,2.57,US,1618685136
209,Hailar,49.2,119.7,-2.9,73,7,3.98,CN,1618685136
210,Soyo,-6.1349,12.3689,26.84,86,100,2.64,AO,1618685136
211,Juneau,58.3019,-134.4197,12.78,66,20,2.76,US,1618685130
212,Ginir,7.1333,40.7,15.17,84,86,1.43,ET,1618685137
213,Richards Bay,-28.783,32.0377,16.69,73,0,3.13,ZA,1618685137
214,Walvis Bay,-22.9575,14.5053,31.0,23,100,5.66,NA,1618685137
215,Chiredzi,-21.05,31.6667,16.36,55,0,2.07,ZW,1618685138
216,Biberach an der Riss,48.0934,9.7905,5.0,70,100,4.63,DE,1618685138
217,Chokurdakh,70.6333,147.9167,-14.3,94,100,2.22,RU,1618685138
218,Esmeralda,21.8525,-78.1169,34.0,33,20,4.12,CU,1618685139
219,Kurya,51.6003,82.2888,1.37,80,0,1.42,RU,1618685139
220,Kahului,20.8947,-156.47,23.0,88,20,1.99,US,1618685139
221,Mana,5.6592,-53.7767,27.9,70,100,5.98,GF,1618685140
222,Olinda,-8.0089,-34.8553,23.0,88,75,5.14,BR,1618684864
223,Vao,-22.6667,167.4833,24.0,73,40,7.16,NC,1618685140
224,Buchanan,5.8808,-10.0467,28.0,78,75,2.06,LR,1618685140
225,Lavrentiya,65.5833,-171.0,-0.51,90,100,5.46,RU,1618685141
226,Sines Municipality,37.9562,-8.8698,17.78,80,85,2.24,PT,1618685141
227,Pueblo Nuevo,23.3833,-105.3833,24.21,10,12,4.09,MX,1618685114
228,Ziarat,30.3823,67.7282,11.8,28,0,2.42,PK,1618685141
229,Souillac,-20.5167,57.5167,25.0,88,75,3.09,MU,1618685142
230,Chitral,35.8462,71.7858,9.36,56,6,1.62,PK,1618685058
231,Ongole,15.5,80.05,27.51,76,0,3.52,IN,1618685142
232,Pavlysh,48.9176,33.3569,7.2,78,100,1.69,UA,1618685142
233,Vanavara,60.34,102.2797,-14.16,95,54,2.1,RU,1618685143
234,Yangi Marg`ilon,40.4272,71.7189,16.0,44,100,2.06,UZ,1618685143
235,Broome,42.2506,-75.833,8.89,61,90,4.12,US,1618685143
236,Kota Tinggi,1.7381,103.8999,24.0,100,20,1.37,MY,1618685144
237,Santa Fe,-31.6333,-60.7,30.0,52,100,1.79,AR,1618684946
238,Sistranda,63.7256,8.834,9.0,57,0,3.09,NO,1618685144
239,Huaihua,27.5494,109.9592,15.27,98,100,1.74,CN,1618685144
240,Kefamenanu,-9.4467,124.4781,20.68,92,99,1.34,ID,1618685145
241,Stonehaven,56.9637,-2.2118,7.78,76,63,7.2,GB,1618685145
242,Magadan,59.5667,150.8,-6.48,94,100,3.24,RU,1618685145
243,Pemangkat,1.1667,108.9667,26.12,79,100,2.37,ID,1618685146
244,Kieta,-6.2167,155.6333,25.83,82,94,1.17,PG,1618685146
245,Béboto,8.2668,16.939,32.38,27,97,1.74,TD,1618685146
246,Naze,28.3667,129.4833,15.47,54,65,8.24,JP,1618685147
247,Ponta do Sol,32.6667,-17.1,17.22,60,100,1.79,PT,1618685147
248,Curuçá,-0.7289,-47.8481,24.5,94,100,1.73,BR,1618685147
249,Port Hawkesbury,45.6169,-61.3485,3.89,93,90,5.14,CA,1618685148
250,Marawi,7.9986,124.2928,24.44,92,100,2.24,PH,1618685148
251,Igunga,-4.2833,33.8833,20.42,77,58,3.88,TZ,1618685148
252,Zyryanka,65.75,150.85,-3.12,71,100,9.35,RU,1618685149
253,Uyuni,-20.4597,-66.825,13.67,11,0,5.85,BO,1618685149
254,Kikwit,-5.041,18.8162,20.42,91,100,1.45,CD,1618685149
255,Jati,24.3539,68.2671,28.49,52,0,4.08,PK,1618685150
256,Nuuk,64.1835,-51.7216,-7.0,45,40,3.6,GL,1618684873
257,Antakya,36.2066,36.1572,20.0,73,75,2.06,TR,1618685150
258,Port Lincoln,-34.7333,135.8667,14.1,79,5,2.08,AU,1618685150
259,Visnes,59.3556,5.2242,9.0,57,12,1.54,NO,1618685151
260,Hasaki,35.7333,140.8333,15.0,94,75,2.57,JP,1618685151
261,Lázaro Cárdenas,17.9583,-102.2,28.62,49,0,4.01,MX,1618685151
262,Cloquet,46.7216,-92.4594,12.0,25,1,3.48,US,1618685152
263,Laas,46.6166,10.7002,14.0,48,0,3.09,IT,1618685152
264,Newark,40.7357,-74.1724,12.78,54,90,2.57,US,1618685004
265,Saint Anthony,45.0205,-93.218,14.0,33,20,2.06,US,1618685153
266,Iquique,-20.2208,-70.1431,22.0,60,0,6.69,CL,1618685153
267,Coyhaique,-45.5752,-72.0662,14.0,62,75,2.06,CL,1618685153
268,Pánuco,22.05,-98.1667,29.0,79,75,6.69,MX,1618685154
269,Wawa,9.9022,4.4192,27.97,62,100,7.38,NG,1618685154
270,Pastavy,55.1168,26.8326,8.19,93,87,3.18,BY,1618685154
271,Saint-Augustin,51.226,-58.6502,3.34,54,0,6.44,CA,1618684988
272,Camacupa,-12.0167,17.4833,20.56,63,100,0.8,AO,1618685020
273,Kirakira,-10.4544,161.9205,26.69,78,85,3.02,SB,1618685155
274,Bose,45.4612,8.0137,12.0,40,0,3.09,IT,1618685155
275,Piaçabuçu,-10.4056,-36.4344,27.39,68,38,3.65,BR,1618685156
276,Chazuta,-6.5742,-76.1367,32.0,55,75,2.57,PE,1618685156
277,Ixtapa,20.7,-105.2,27.0,50,1,2.57,MX,1618685136
278,Tiarei,-17.5333,-149.3333,29.0,65,20,3.09,PF,1618684985
279,Sulangan,11.1373,123.7228,27.98,71,100,10.77,PH,1618685156
280,Dinard,48.6314,-2.0614,9.0,61,0,5.14,FR,1618685157
281,Nanortalik,60.1432,-45.2371,-3.42,51,3,15.05,GL,1618685157
282,Nāttarasankottai,9.8667,78.5667,28.7,75,100,5.58,IN,1618685157
283,La Ronge,55.1001,-105.2842,11.0,40,100,6.17,CA,1618685158
284,Porto Belo,-27.1578,-48.5531,23.33,94,75,2.57,BR,1618685158
285,Ulladulla,-35.35,150.4667,11.67,100,90,3.09,AU,1618685159
286,Eureka,40.8021,-124.1637,22.78,93,90,2.06,US,1618685159
287,Chissamba,-12.1667,17.3333,20.64,67,100,0.81,AO,1618685159
288,Rockland,41.1668,-74.0496,11.11,57,86,2.82,US,1618685160
289,Esperance,-33.8667,121.9,13.0,82,0,5.14,AU,1618685160
290,São Gabriel da Cachoeira,-0.1303,-67.0892,31.0,66,40,2.06,BR,1618685160
291,Kalmunai,7.4167,81.8167,26.49,81,94,3.43,LK,1618685161
292,Cherskiy,68.75,161.3,-8.9,74,2,8.51,RU,1618685161
293,Carbonia,39.1672,8.5222,12.0,82,20,8.23,IT,1618685161
294,Kakching,24.4833,93.9833,16.16,86,0,0.86,IN,1618685162
295,Hithadhoo,-0.6,73.0833,28.11,62,7,2.62,MV,1618685162
296,Teruel,40.6667,-0.6667,11.0,40,0,5.66,ES,1618685162
297,Moree,-29.4667,149.85,10.0,93,2,2.01,AU,1618685163
298,Alenquer,-1.9417,-54.7383,30.0,70,40,2.57,BR,1618685163
299,Xichang,27.8964,102.2634,15.84,73,92,1.16,CN,1618685163
300,Biltine,14.5333,20.9167,30.61,6,71,4.72,TD,1618685163
301,Patiya,22.2931,91.9762,22.71,93,2,2.25,BD,1618685164
302,Bang Saphan,11.2126,99.5117,24.53,91,71,1.69,TH,1618685164
303,Yulara,-25.2406,130.9889,13.0,54,0,3.09,AU,1618685165
304,Dhankutā,26.9833,87.3333,17.18,70,0,2.55,NP,1618685165
305,Tabas,33.5959,56.9244,23.45,19,100,4.07,IR,1618685165
306,Osakarovka,50.565,72.5692,6.7,73,0,0.47,KZ,1618685165
307,Puerto Suárez,-18.95,-57.8,31.0,62,40,2.06,BO,1618685166
308,Evensk,61.95,159.2333,-12.78,96,100,1.51,RU,1618685166
309,Sturgeon Bay,44.8342,-87.377,9.0,34,1,6.17,US,1618685166
310,Mīnāb,27.1467,57.0801,26.0,61,100,3.09,IR,1618685167
311,Tarko-Sale,64.9225,77.785,-21.38,92,7,5.27,RU,1618685167
312,Belomorsk,64.5232,34.7668,3.5,90,5,1.76,RU,1618685167
313,Avera,33.194,-82.5271,24.0,29,40,3.6,US,1618685168
314,Lindi,-10.0,39.7167,25.0,83,40,7.72,TZ,1618685168
315,Kuching,1.55,110.3333,24.0,94,40,1.03,MY,1618685168
316,Khasan,42.4308,130.6434,6.1,66,100,5.46,RU,1618685169
317,Jacareacanga,-6.2222,-57.7528,23.96,96,100,0.77,BR,1618685169
318,Kupang,-10.1667,123.5833,24.49,87,78,2.53,ID,1618685169
319,Dem'yanovo,60.3511,47.0842,2.57,83,27,2.01,RU,1618685170
320,Messina,38.1933,15.5497,15.0,51,40,1.54,IT,1618685170
321,Villa Florida,-26.3833,-57.15,30.09,46,6,2.5,PY,1618685170
322,Sete Lagoas,-19.4658,-44.2467,27.0,44,40,1.54,BR,1618685170
323,Pinhão,-25.6956,-51.6597,18.92,80,84,1.44,BR,1618685171
324,La Baule-Escoublac,47.2922,-2.364,12.0,54,0,3.09,FR,1618685171
325,Ciudad Bolivar,8.1222,-63.5497,36.37,26,88,6.59,VE,1618685171
326,Battle Creek,42.3212,-85.1797,14.0,47,75,2.06,US,1618685172
327,Batagay-Alyta,67.8006,130.4114,-12.14,92,100,2.33,RU,1618685172
328,Bathurst,-33.4166,149.5806,7.22,94,12,0.93,AU,1618685172
329,Kuytun,54.3419,101.5036,-5.12,78,100,4.6,RU,1618685173
330,Villaviciosa,43.4813,-5.4357,11.11,59,0,3.91,ES,1618685173
331,Lagoa,39.05,-27.9833,16.51,91,100,7.72,PT,1618685173
332,Chapais,49.7834,-74.8492,10.0,46,20,3.09,CA,1618685174
333,Mil'kovo,54.7167,158.6167,-5.21,82,12,0.9,RU,1618685174
334,Xingyi,24.1877,102.817,13.53,96,100,0.97,CN,1618685174
335,Berlevåg,70.8578,29.0864,3.25,88,72,5.11,NO,1618685174
336,Ust'-Barguzin,53.45,108.9833,0.92,98,100,2.37,RU,1618685175
337,Vestmannaeyjar,63.4427,-20.2734,6.0,93,90,4.12,IS,1618685175
338,Diourbel,14.6628,-16.3925,40.0,21,0,3.09,SN,1618685175
339,San Bernardo,-33.6,-70.7167,22.22,52,93,2.57,CL,1618685176
340,Amapá,1.0,-52.0,26.02,95,93,1.74,BR,1618685176
341,Lábrea,-7.2586,-64.7981,28.9,79,100,0.44,BR,1618685176
342,Tarakan,3.3,117.6333,26.16,80,100,2.36,ID,1618685177
343,Saldanha,-33.0117,17.9442,23.0,33,0,2.57,ZA,1618685177
344,Jinchang,38.4953,102.1739,9.76,19,19,1.52,CN,1618685177
345,Lilongwe,-13.9669,33.7873,17.0,77,0,6.17,MW,1618685169
346,Vanimo,-2.6741,141.3028,24.5,88,100,2.2,PG,1618685178
347,Bathsheba,13.2167,-59.5167,30.0,54,75,9.26,BB,1618685178
348,Mossamedes,-15.1961,12.1522,27.06,75,0,3.07,AO,1618685180
349,Leningradskiy,69.3833,178.4167,-1.24,87,100,4.22,RU,1618685180
350,Rocha,-34.4833,-54.3333,22.17,63,8,3.25,UY,1618685180
351,Santa Luzia,-19.7697,-43.8514,27.0,44,40,1.54,BR,1618685181
352,Ust-Tsilma,65.441,52.1498,-4.87,79,100,4.89,RU,1618685181
353,Killybegs,54.6333,-8.45,12.0,66,90,2.57,IE,1618685181
354,Strelka,58.0728,93.0344,-7.44,86,15,1.92,RU,1618685182
355,Chicama,-7.8447,-79.1469,19.0,82,75,6.17,PE,1618685182
356,Kagay,6.0088,120.9074,26.38,85,100,3.5,PH,1618685182
